Feature,Gain,Cover,Frequency
Foam.material,0.172912907718158,0.0298355891864868,0.0268379960962915
Location,0.129654860142762,0.137220795858743,0.108815875081327
Lat,0.10072338120106,0.0981569532181711,0.0683148991541965
縣市,0.0947534677307646,0.0234768434373682,0.0128497072218608
Station,0.0677548445920467,0.0906524875142564,0.184287573194535
County,0.0524668432050061,0.109957868752571,0.08295380611581
Lon,0.0516341515185441,0.0734041943765982,0.0471698113207547
Fishing.nets.and.ropes,0.0481450394454152,0.0246746415719278,0.0232595966167859
Season,0.0452306452517199,0.0655872595941027,0.128985035783995
Seat,0.0450711433117001,0.044209166801202,0.0299284320104099
Substrate.type,0.0251291516060139,0.0385118139350793,0.0294404684450228
Disposable.cup...straw...tableware,0.0227692156809433,0.0227633723746088,0.0229342875731945
X5砂礫混合灘,0.0225773187247706,0.0286273754159745,0.0245608327911516
Float,0.0215132567296165,0.0162431842682235,0.0203318152244632
Plastic.bottle.container,0.0203520402336182,0.0245236148506137,0.0283018867924528
Shore.shape,0.0136947339419663,0.0109989115660429,0.00927130774235524
X2暴露人造結構物,0.0122514026020049,0.0217426400512449,0.0208197787898504
Plastic.bag,0.0110933883003371,0.0268515094860404,0.0130123617436565
X4沙灘,0.0105750004571518,0.0240184565069082,0.0328562134027326
X6礫石灘,0.00747239241977834,0.0215082882423094,0.0209824333116461
X1暴露岩岸,0.00620518619053491,0.0130351683947943,0.0148015614834092
X7開闊潮間帶,0.00542355264731944,0.00909805800467662,0.00992192582953806
X3暴露岩盤,0.00343980668482341,0.00523385706622782,0.00862068965517241
Glass.jar,0.00327055232355597,0.0123893989657274,0.0131750162654522
Fishing.equipment,0.00175278020513814,0.0018643988355319,0.00162654521795706
X8遮蔽岩岸,0.00162589299015615,0.00481202381014379,0.00422901756668835
Metal,0.00151694297132941,0.00882725146990662,0.00487963565387118
X10遮蔽濕地,0.00055027689466951,0.0104052203167395,0.0053675992192583
Cigarette.and.lighter,0.000205081276840327,0.000671808518948646,0.000975927130774236
Region,0.0001976438327652,0.000671808518948646,0.000325309043591412
X9遮蔽潮間帶,3.70991694903007e-05,2.60390898817305e-05,0.000162654521795706
