Feature,Gain,Cover,Frequency
Location,0.175480232328236,0.178137891760271,0.153119307832423
Lon,0.0877864178845101,0.100875014162191,0.0935792349726776
Lat,0.0826409894516807,0.0820344770467822,0.0947176684881603
Station,0.0781511781129338,0.0611213004174007,0.0823087431693989
Seat,0.0662040779684551,0.058220728047641,0.0456511839708561
County,0.0648503518340063,0.0768767968726853,0.0779826958105647
Season,0.0514401238550224,0.0528983832499603,0.0745673952641166
Substrate.type,0.0453124546157799,0.0431965062672758,0.0352914389799636
縣市,0.0419894428971251,0.0242497058979772,0.0167349726775956
Fishing.nets.and.ropes,0.0399246164663954,0.0397060665264388,0.0377959927140255
Plastic.bottle.container,0.0336556705162035,0.026388436314556,0.0311930783242259
Foam.material,0.0319533383673051,0.0453930690228824,0.0377959927140255
X5砂礫混合灘,0.0307526518693771,0.0300594306495758,0.0314207650273224
X4沙灘,0.0241837540431895,0.025636180610438,0.0357468123861567
X2暴露人造結構物,0.0236728520132664,0.0241001941473105,0.0272085610200364
X6礫石灘,0.0203607658546849,0.0141869060160868,0.0207194899817851
Float,0.0178124383906496,0.025775240630986,0.0181010928961749
Shore.shape,0.017535016398071,0.0159558671817285,0.0200364298724954
Disposable.cup...straw...tableware,0.0167693921649282,0.0134573483428429,0.0109289617486339
Others,0.0109574414214717,0.00859787876919998,0.00614754098360656
X7開闊潮間帶,0.00836010094282964,0.0139051932067204,0.0128642987249545
X8遮蔽岩岸,0.0073219404462987,0.00460953027068796,0.00455373406193078
X3暴露岩盤,0.00727244428102903,0.00926394761740655,0.0111566484517304
Glass.jar,0.0062765238647448,0.00803152360964353,0.00364298724954463
X1暴露岩岸,0.00621530321007559,0.0108460786695227,0.0137750455373406
Plastic.bag,0.00161722899666524,0.0027685009238381,0.0011384335154827
Metal,0.00083681252166746,0.0026657609794252,0.000569216757741348
Region,0.000644651396174745,0.000878951097571823,0.00102459016393443
X10遮蔽濕地,2.17878872227375e-05,0.000163091690953614,0.000227686703096539
