Feature,Gain,Cover,Frequency
weighted_garbage,0.149249001738734,0.107965006285156,0.0659873847646774
Location,0.107872439315826,0.0841829932577422,0.0863658418243571
Station,0.084952162837686,0.0556394987112257,0.120815138282387
County,0.0842797746368893,0.11908782711378,0.0950994662785056
Lon,0.0712726700446894,0.108130070977818,0.0650169820475497
Lat,0.0643533040505439,0.0734029990984928,0.0713245997088792
Season,0.0604027475978411,0.0332541869294158,0.107229500242601
station_num,0.0563347198236587,0.071841233160227,0.0412421154779233
Seat,0.0492710518562991,0.0721967571136534,0.0373605046094129
Foam material,0.047464792800637,0.0194776337341443,0.0135856380397865
Substrate type,0.0342346147427273,0.022131366100791,0.0213488597768074
Seat_simple,0.0313458830344308,0.0161001561765938,0.0126152353226589
4沙灘,0.0222390019640237,0.0132686618332339,0.0252304706453178
縣市,0.0168203649565508,0.0372665286895133,0.0155264434740417
2暴露人造結構物,0.0148537916338235,0.0131924781289282,0.0262008733624454
Float,0.0131596080178198,0.0149954924641619,0.0155264434740417
5砂礫混合灘,0.0113705879943507,0.00901507167616847,0.0131004366812227
6礫石灘,0.00946477458863681,0.00845639117792704,0.0135856380397865
Fishing nets and ropes,0.00838990934121553,0.0125068247901774,0.0169820475497331
Plastic bottle container,0.00796772283437514,0.00545983214190485,0.0131004366812227
7開闊潮間帶,0.00782907011122626,0.00787231611158373,0.0121300339640951
3暴露岩盤,0.00745738041031673,0.00592963165178968,0.0116448326055313
wstr,0.00461706987042261,0.00372030422692586,0.00388161086851043
8遮蔽岩岸,0.00460759137833684,0.0150462816003657,0.00776322173702086
wfisnr,0.00450961146507117,0.0118084741673756,0.00776322173702086
海岸段,0.00438415809726343,0.00690732252371218,0.00388161086851043
1暴露岩岸,0.00382333542333891,0.0084436938938761,0.0184376516254246
wo,0.00281785415169665,0.000190459260764123,0.000485201358563804
Shore shape,0.00281503581472056,0.0111609126807776,0.00970402717127608
wplbc,0.00257759360324287,0.00444404941782953,0.00776322173702086
wflo,0.00197957511108286,0.00485036250745965,0.00582241630276565
Others,0.00170512414960459,0.00250136495803548,0.00388161086851043
Region,0.00111225374851796,0.00281879705930901,0.00194080543425522
Disposable cup / straw / tableware,0.000926307403551526,0.00319971558083726,0.00630761766132945
Glass jar,0.00086687044472093,0.00544713485785391,0.00630761766132945
10遮蔽濕地,0.000776451008518777,0.00139670124560357,0.00291120815138282
wgj,0.00075669406622573,0.00129512297319603,0.00242600679281902
Plastic bag,0.000371449287429094,0.00106657186027909,0.00145560407569141
wplb,0.000275170492373227,0.000495194077986719,0.00145560407569141
station_EN,0.000214394293076751,0.00142209581370545,0.00145560407569141
Metal,9.67461205707127e-05,0.000495194077986719,0.00242600679281902
wdis,9.10207127240976e-05,0.00177761976713181,0.00194080543425522
Paper,7.75707305551028e-05,5.0789136203766e-05,0.000485201358563804
wm,1.27482946536862e-05,8.88809883565905e-05,0.000485201358563804
